Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2016-01-04,656.29,657.72,627.51,636.99,636.99,Amazon,2016,1
2016-01-05,646.86,646.91,627.65,633.79,633.79,Amazon,2016,1
2016-01-06,622.0,639.79,620.31,632.65,632.65,Amazon,2016,1
2016-01-07,621.8,630.0,605.21,607.94,607.94,Amazon,2016,1
2016-01-08,619.66,624.14,606.0,607.05,607.05,Amazon,2016,1
2016-01-11,612.48,619.85,598.57,617.74,617.74,Amazon,2016,1
2016-01-12,625.25,625.99,612.24,617.89,617.89,Amazon,2016,1
2016-01-13,620.88,620.88,579.16,581.81,581.81,Amazon,2016,1
2016-01-14,580.25,602.25,569.88,593.0,593.0,Amazon,2016,1
2016-01-15,572.24,584.62,565.3,570.18,570.18,Amazon,2016,1
2016-01-19,577.09,584.0,566.45,574.48,574.48,Amazon,2016,1
2016-01-20,564.36,578.45,547.18,571.77,571.77,Amazon,2016,1
2016-01-21,573.58,588.81,568.22,575.02,575.02,Amazon,2016,1
2016-01-22,588.73,600.1,584.11,596.38,596.38,Amazon,2016,1
2016-01-25,597.99,608.5,594.56,596.53,596.53,Amazon,2016,1
2016-01-26,603.45,604.5,590.38,601.25,601.25,Amazon,2016,1
2016-01-27,601.99,603.39,578.78,583.35,583.35,Amazon,2016,1
2016-01-28,608.37,638.06,597.55,635.35,635.35,Amazon,2016,1
2016-01-29,571.98,593.0,570.0,587.0,587.0,Amazon,2016,1
2016-02-01,578.15,581.8,570.31,574.81,574.81,Amazon,2016,2
2016-02-02,570.0,571.56,550.09,552.1,552.1,Amazon,2016,2
2016-02-03,553.5,556.0,521.9,531.07,531.07,Amazon,2016,2
2016-02-04,525.0,538.99,519.22,536.26,536.26,Amazon,2016,2
2016-02-05,529.28,529.45,499.19,502.13,502.13,Amazon,2016,2
2016-02-08,486.47,493.5,475.21,488.1,488.1,Amazon,2016,2
2016-02-09,478.01,498.38,474.0,482.07,482.07,Amazon,2016,2
2016-02-10,491.76,504.66,486.0,490.48,490.48,Amazon,2016,2
2016-02-11,491.17,509.3,484.0,503.82,503.82,Amazon,2016,2
2016-02-12,510.7,516.75,501.49,507.08,507.08,Amazon,2016,2
2016-02-16,519.48,524.45,511.66,521.1,521.1,Amazon,2016,2
2016-02-17,528.74,537.48,519.39,534.1,534.1,Amazon,2016,2
2016-02-18,541.19,541.2,523.73,525.0,525.0,Amazon,2016,2
2016-02-19,520.71,535.95,515.35,534.9,534.9,Amazon,2016,2
2016-02-22,542.2,560.65,541.08,559.5,559.5,Amazon,2016,2
2016-02-23,555.55,556.91,545.33,552.94,552.94,Amazon,2016,2
2016-02-24,545.75,554.27,533.15,554.04,554.04,Amazon,2016,2
2016-02-25,555.52,559.39,545.29,555.15,555.15,Amazon,2016,2
2016-02-26,560.12,562.5,553.17,555.23,555.23,Amazon,2016,2
2016-02-29,554.0,564.81,552.51,552.52,552.52,Amazon,2016,2
2016-03-01,556.29,579.25,556.0,579.04,579.04,Amazon,2016,3
2016-03-02,581.75,585.0,573.7,580.21,580.21,Amazon,2016,3
2016-03-03,577.96,579.87,573.11,577.49,577.49,Amazon,2016,3
2016-03-04,581.07,581.4,571.07,575.14,575.14,Amazon,2016,3
2016-03-07,573.54,573.63,555.55,562.8,562.8,Amazon,2016,3
2016-03-08,557.87,571.35,554.74,560.26,560.26,Amazon,2016,3
2016-03-09,559.56,560.35,550.13,559.47,559.47,Amazon,2016,3
